"x","y","ymin","ymax","se"
0,28.0764816230255,27.0871109116372,29.0658523344138,0.504790250837436
1,28.0811170487023,27.2323315331062,28.9299025642984,0.433061792099842
2,28.0844239140351,27.363328691343,28.8055191367272,0.367912486341573
3,28.0839045255772,27.4698059884728,28.6980030626817,0.31332133750843
4,28.0770080474682,27.5408827065727,28.6131333883637,0.273538363523216
5,28.0611836438476,27.5683729415735,28.5539943461217,0.251438652016715
6,28.0338804788549,27.5516855723082,28.5160753854016,0.246022330180643
7,27.9925477166297,27.4989040782375,28.4861913550219,0.251863627232948
8,27.9346345213115,27.4216004634868,28.4476685791361,0.261756880162797
9,27.8575900570398,27.329391369566,28.3857887445137,0.269494078279081
10,27.7588663362461,27.2279066327877,28.2898260397046,0.270902785789217
11,27.6368809423032,27.1176750566039,28.1560868280025,0.264905829798262
12,27.4924183891216,26.9936642378331,27.9911725404101,0.254471079684419
13,27.3266192270947,26.8487712505214,27.804467203668,0.243804468011921
14,27.1406240066159,26.6761401361979,27.6051078770339,0.236985921211719
15,26.9355732780786,26.4718214933538,27.3993250628033,0.23661240123939
16,26.7126075918761,26.2370598678233,27.1881553159288,0.242630848221602
17,26.4728674984018,25.9782622946333,26.9674727021703,0.252354230827633
18,26.2174935480492,25.7046632958799,26.7303238002184,0.261652895774836
19,25.9476262912115,25.4256336861581,26.4696188962649,0.266327651513393
20,25.664168556335,25.1475736275572,26.1807634851128,0.263573684441452
21,25.3664427963609,24.8666468102922,25.8662387824296,0.255002637809174
22,25.0531267623098,24.5736874115438,25.5325661130758,0.244616408540027
23,24.7228963034265,24.2589549501945,25.1868376566585,0.236709121642798
24,24.374427268956,23.9146713376732,24.8341832002387,0.234573663041388
25,24.0063955081431,23.5377075513281,24.4750834649581,0.239130902665531
26,23.6174768702327,23.1304770373499,24.1044767031155,0.248473868256854
27,23.2063472044698,22.699163529384,23.7135308795557,0.258771936161303
28,22.7716823600993,22.2509262824829,23.2924384377157,0.265696758575191
29,22.312150775344,21.7914550092587,22.8328465414293,0.265665986820405
30,21.8262504349202,21.3192124464089,22.3332884234315,0.25869760491047
31,21.3123088700376,20.8254439405624,21.7991737995127,0.248405038722902
32,20.7686462008837,20.2999487821056,21.2373436196617,0.239135730286393
33,20.1935825476461,19.7335488207564,20.6536162745358,0.234715398098332
34,19.5854380305124,19.1208993079539,20.049976753071,0.237013907511956
35,18.9425327696704,18.4622340048896,19.4228315344511,0.245054893135445
36,18.2631868853074,17.7624202072214,18.7639535633934,0.255497897938944
37,17.5457204976113,17.0282500228918,18.0631909723307,0.264020399763035
38,16.788462974948,16.2659248053289,17.3110011445671,0.266606005896426
39,15.9928788182135,15.480052222003,16.5057054144239,0.261651030455424
40,15.1681177646815,14.6741956675177,15.6620398618454,0.252005700645457
41,14.3244855739453,13.8503453153379,14.7986258325526,0.241912740411208
42,13.4722880055977,13.0106613739747,13.9339146372207,0.235528119528853
43,12.6218308192318,12.1601994411284,13.0834621973352,0.235530541247028
44,11.7834197744408,11.3092673186521,12.2575722302295,0.241918963577276
45,10.9673606308177,10.4734238581297,11.4612974035056,0.252013188295308
46,10.1839591479554,9.67112088821267,10.6967974076982,0.261656981346573
47,9.44352108544715,8.92097795279984,9.96606421809446,0.266608538100221
48,8.75486198594308,8.2373926547142,9.27233131717196,0.264019816338776
49,8.11689042985766,7.61612377538586,8.61765708432946,0.255497885890651
50,7.52447352925641,7.04416111731393,8.00478594119889,0.24506185610099
51,6.9724664744693,6.50788743057292,7.43704551836568,0.237034480001123
52,6.45572445582633,5.99561804579662,6.91583086585604,0.234752482014451
53,5.96910266365747,5.50030797685576,6.43789735045917,0.23918535774101
54,5.5074562882927,5.02048947804205,5.99442309854335,0.248457019665557
55,5.06564052006202,4.55852031736372,5.57276072276031,0.258739551695028
56,4.63851054929539,4.11777070729007,5.15925039130072,0.265688474947935
57,4.22107275159802,3.70031020201487,4.74183530118118,0.265700060659718
58,3.8118107639048,3.30461870443483,4.31900282337478,0.258776213986912
59,3.41268548448037,2.92559399950833,3.8997769694524,0.248520630386144
60,3.02580899686453,2.55684787136075,3.49477012236831,0.239270277006559
61,2.65329338459713,2.19301693844156,3.1135698307527,0.234839236734028
62,2.29725073121798,1.83256015991236,2.76194130252359,0.237091382786131
63,1.95979312026692,1.47948830713169,2.44009793340215,0.245057979087276
64,1.64303263528376,1.14241490657943,2.14365036398808,0.255421901960002
65,1.34908135980835,0.831844220575377,1.86631849904131,0.263901348857871
66,1.08004835514707,0.557617727545781,1.60247898274836,0.26655113651177
67,0.837018145476297,0.323740110773098,1.3502961801795,0.261881360449412
68,0.618563778998704,0.122984961715291,1.11414259628212,0.252850981544801
69,0.422880524739242,-0.054879095531599,0.900640145010082,0.243759387437396
70,0.248163651722839,-0.219685034874008,0.716012338319685,0.238702695706236
71,0.0926084289744489,-0.378106742634614,0.563323600583512,0.240165214933542
72,-0.0455898744809917,-0.531536565379856,0.440356816417872,0.247936541044606
73,-0.168235989618547,-0.67645341865745,0.339981439420357,0.259299371339299
74,-0.277134647413267,-0.80697914063918,0.252709845812647,0.270333790521285
75,-0.374090578840221,-0.917699419888439,0.169518262207997,0.277356546006016
76,-0.460836105101906,-1.00660631581259,0.0849341056087786,0.278459305893195
77,-0.538622167232907,-1.08035946371634,0.00311512925052448,0.276401658783828
78,-0.608503330964637,-1.15191656166439,-0.0650901002648847,0.277256742973915
79,-0.67153358275034,-1.23656868746254,-0.106498478038136,0.288288514058998
80,-0.728766909043237,-1.34694910771349,-0.110584710372983,0.315404876592834
81,-0.781257296296577,-1.48814492430092,-0.0743696682922368,0.360663580341363
82,-0.830058730963586,-1.65773425929283,-0.00238320263433767,0.422291192520805
83,-0.876225199497513,-1.84965284008382,0.0972024410887956,0.49665588156955
84,-0.920810688351581,-2.05739771786471,0.215776341161543,0.579901997423615
85,-0.964847225927922,-2.27527968478711,0.345585232931262,0.668600274900819
86,-1.00886180545315,-2.49940371243297,0.481680101526664,0.760494539051239
87,-1.05287638497839,-2.72773658289506,0.621983812938284,0.854536211444575
88,-1.09689096450362,-2.95902891523097,0.765246986223723,0.95008784111119
89,-1.14090554402886,-3.19247040319947,0.910659315141753,1.04673599890258
90,-1.18492012355409,-3.42751651035657,1.0576762632484,1.14420285499723
